Date,Price,Total Volume,Market Cap
2022-02-15 05:30:00,2935.6454998606846,12117644856.003006,351368910987.00305
2022-02-16 05:30:00,3179.3002065350443,14189484930.460047,381791121976.2447
2022-02-17 05:30:00,3128.640780542462,13120593628.157278,376071884044.5087
2022-02-18 05:30:00,2881.613122162859,16242836366.095669,345252572787.0988
2022-02-19 05:30:00,2792.3038477186237,16064045339.56507,333997569707.84204
2022-02-20 05:30:00,2768.9716520348597,9956229564.570753,330814655802.00714
2022-02-21 05:30:00,2632.49139911745,12215462928.563446,315015971538.73315
2022-02-22 05:30:00,2574.513383778016,19206327576.145523,308836894427.69006
2022-02-23 05:30:00,2644.153655546016,16856627508.447924,317004525462.3889
2022-02-24 05:30:00,2594.700959110155,13713218952.651205,310997586955.65283
2022-02-25 05:30:00,2599.9335696870216,30992409365.835472,311533514951.14
2022-02-26 05:30:00,2771.890509646429,17751279835.572117,333625150661.6757
2022-02-27 05:30:00,2785.3389569017427,11984293384.913609,332645349329.944
2022-02-28 05:30:00,2629.48312082149,17309819254.70233,314566178973.5596
2022-03-01 05:30:00,2919.294962425658,19832961026.345818,349056335389.1799
2022-03-02 05:30:00,2977.276039756805,19012291817.365406,355855644056.71844
2022-03-03 05:30:00,2953.315776286441,17023997910.606855,353807222059.12616
2022-03-04 05:30:00,2836.9063366005576,13786702924.254955,340585349633.38696
2022-03-05 05:30:00,2619.356137634489,15538211354.189482,314336377085.58026
2022-03-06 05:30:00,2668.70597865687,8652610729.437431,319334318240.9434
2022-03-07 05:30:00,2558.359874049847,9377488374.702219,306675297178.70435
2022-03-08 05:30:00,2498.658864965217,15295190068.57191,299834957580.4126
2022-03-09 05:30:00,2576.6271539947625,14681251925.804962,309291567872.3395
2022-03-10 05:30:00,2731.037685293996,15208159162.669767,327144318378.6509
2022-03-11 05:30:00,2611.4647225047097,13843643777.451271,313054369877.37134
2022-03-12 05:30:00,2562.8323535359655,12313723771.430836,307992205234.7309
2022-03-13 05:30:00,2579.4581356883637,6288630630.865574,309539252974.5316
2022-03-14 05:30:00,2518.492845270615,8570037700.961715,302103577555.32056
2022-03-15 05:30:00,2591.5420409591425,10951215810.637651,310467033555.37006
2022-03-16 05:30:00,2620.363852420936,12439580087.508198,314931220494.93384
2022-03-17 05:30:00,2771.759457292368,19785262485.166782,333204590005.1927
2022-03-18 05:30:00,2817.401074966818,12593189074.637096,338097336083.8262
2022-03-19 05:30:00,2945.7459101862714,14540256794.800894,353539105454.5327
2022-03-20 05:30:00,2947.226158224087,10359721811.614828,353770129278.67426
2022-03-21 05:30:00,2860.641960901919,11304953073.460001,343170506313.24133
2022-03-22 05:30:00,2896.5869324317464,13890729058.80007,347666776668.2674
2022-03-23 05:30:00,2969.78498365825,15671928047.784338,356813271188.88025
2022-03-24 05:30:00,3028.8352577107285,14257143986.39263,363715804798.513
2022-03-25 05:30:00,3106.657023584939,16202188701.767122,373177111114.7027
2022-03-26 05:30:00,3106.072054158695,15532463157.18736,373074920726.7511
2022-03-27 05:30:00,3140.8757105064406,7615867102.157496,377825418684.3759
2022-03-28 05:30:00,3285.1730967305425,11980084883.788645,394486853105.0086
2022-03-29 05:30:00,3328.9341246867148,18514225350.60662,399977979554.21063
2022-03-30 05:30:00,3401.184431040135,17936369661.586555,408153998267.8274
2022-03-31 05:30:00,3383.7887617814154,14183468637.6598,407460530687.7479
2022-04-01 05:30:00,3283.3028425717257,16222256121.186861,394628513775.2061
2022-04-02 05:30:00,3451.1960908672754,19701116865.137077,414854897478.46454
2022-04-03 05:30:00,3440.3362384891684,22091140764.533768,413595262456.1556
2022-04-04 05:30:00,3521.5847247785246,14019828281.404171,423410516389.8548
2022-04-05 05:30:00,3520.9671175043636,16925919013.954468,423367935034.98956
2022-04-06 05:30:00,3422.9698837547116,15114055501.97898,412944890807.9602
2022-04-07 05:30:00,3171.371104498954,26109763334.73009,382808702033.7895
2022-04-08 05:30:00,3232.834988999582,16149775914.530878,388867320187.2107
2022-04-09 05:30:00,3192.0250912893603,17523939555.353264,382662893229.3914
2022-04-10 05:30:00,3265.938067729151,9316769843.73387,392551461530.81824
2022-04-11 05:30:00,3219.159553453764,10005373137.102016,388982079663.2629
2022-04-12 05:30:00,2992.7021064252435,21142997359.75918,360149250762.0514
2022-04-13 05:30:00,3038.209421996366,18977679663.55036,365661388410.7189
2022-04-14 05:30:00,3121.399823462041,15452917855.24062,375767680796.0061
2022-04-15 05:30:00,3023.417211885316,15895586504.785799,363962080917.9128
2022-04-16 05:30:00,3045.42807480128,12543243551.278517,366695398817.36127
2022-04-17 05:30:00,3066.3580141449797,9063939048.316748,369787917596.8767
2022-04-18 05:30:00,2995.719421019825,9543306566.22193,360748880962.95123
2022-04-19 05:30:00,3061.8905711469047,18188817400.079117,368758484169.854
2022-04-20 05:30:00,3104.688447526111,13472639207.148006,373782979942.61957
2022-04-21 05:30:00,3079.6764776018495,15155965878.384497,370910549448.9755
2022-04-22 05:30:00,2987.4888760341605,20529419340.296413,359917773311.257
2022-04-23 05:30:00,2967.085285238213,16155619718.968117,357702343019.6129
2022-04-24 05:30:00,2940.6879777714407,8633203957.82989,354358143094.8383
2022-04-25 05:30:00,2922.901865199808,9196851418.265764,352895958715.2752
2022-04-26 05:30:00,3008.3363470853,22037549638.799118,362590296737.94165
2022-04-27 05:30:00,2806.748835957046,17750798288.906208,338098235743.8579
2022-04-28 05:30:00,2889.5922230230817,17036298768.907473,348355348857.35516
2022-04-29 05:30:00,2932.455083612903,18249410920.251778,353388170472.60077
2022-04-30 05:30:00,2817.4898821916195,17902735173.807156,340291788026.5969
2022-05-01 05:30:00,2738.1741359527714,12618462103.401344,330211251741.10095
2022-05-02 05:30:00,2832.513106895354,14489173444.820097,341626180826.6119
2022-05-03 05:30:00,2861.3723755560436,17701813870.710365,345080135066.0433
2022-05-04 05:30:00,2786.0472478011084,12836324477.777216,336655132684.7217
2022-05-05 05:30:00,2942.052313122658,17336934449.712643,355229761723.3485
2022-05-06 05:30:00,2753.936566546688,20868783132.923206,332103738939.991
2022-05-07 05:30:00,2699.7072470893745,20516541977.493565,325971900416.40796
2022-05-08 05:30:00,2641.229106940243,12528069434.498928,319030900103.94275
2022-05-09 05:30:00,2517.8299224886478,20582973186.12796,304412453306.29724
2022-05-10 05:30:00,2249.8909622207443,34392685561.846504,271594796946.79037
2022-05-11 05:30:00,2344.797715643986,36844564808.016556,283082341315.2594
2022-05-12 05:30:00,2080.910243657776,46548009611.49195,250066823474.8895
2022-05-13 05:30:00,1966.6991711336661,41621733327.158905,238137944005.85858
2022-05-14 05:30:00,2010.214051125259,23979529161.232746,243391440608.9294
2022-05-15 05:30:00,2064.229357512243,14395772634.811949,249319115268.20465
2022-05-16 05:30:00,2147.047447880575,14395455889.043333,259350256988.01163
2022-05-17 05:30:00,2025.8886983912162,20068743681.95205,244741893933.73114
2022-05-18 05:30:00,2095.178884796724,17005002529.405003,253640825085.77072
2022-05-19 05:30:00,1915.1771232664505,15892119501.206236,232056327519.7834
2022-05-20 05:30:00,2023.8482593608173,17828306698.714794,244359004842.60373
2022-05-21 05:30:00,1963.9909395294865,14638100162.773735,237366807798.8157
2022-05-22 05:30:00,1978.1471325624789,7551508571.492984,239102942424.56775
2022-05-23 05:30:00,2046.6463496545232,9623174527.738039,247730054115.44598
2022-05-24 05:30:00,1974.5811944790914,14627311157.92938,238722810744.1854
2022-05-25 05:30:00,1979.770545006472,12880481567.942186,239375431792.86758
2022-05-26 05:30:00,1944.8428445072448,12554611854.439222,235347664835.4594
2022-05-27 05:30:00,1807.9694742881136,22669347246.961388,219247293980.15558
2022-05-28 05:30:00,1724.8757340323443,24344535948.91357,208622909553.50162
2022-05-29 05:30:00,1798.6948545788846,12004308559.066864,217791356992.8858
2022-05-30 05:30:00,1814.9831598025937,9767849361.351788,219535934457.98206
2022-05-31 05:30:00,1995.9364841552344,18803016950.09315,241204871683.00946
2022-06-01 05:30:00,1944.078766836179,17409076011.07384,235235428449.11987
2022-06-02 05:30:00,1828.8926546074292,19904831726.00975,221596716649.26758
2022-06-03 05:30:00,1833.089840845753,16444980823.786707,222487488380.58923
